OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
270,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,270,Independent Barham,Operational,Shell,,6 Murray Street,Barham,New South Wales,5,20110725,,-35.629806,144.126122
271,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,271,Caltex Cohuna,Operational,7-Eleven Pty Ltd,,103 King George Street,Cohuna,Victoria,5,20120713,,-35.8071009999999,144.219372
272,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,272,Caltex Tocumwal,Operational,7-Eleven Pty Ltd,,54-56 Deniliquin Road,Tocumwal,New South Wales,5,20120713,,-35.810753,145.560806
273,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,273,Caltex Cobram,Operational,Caltex,,74 Broadway Street,Cobram,Victoria,5,20110725,,-35.916395,145.645776
274,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,274,Safeway Caltex Cobram,Operational,Caltex,,2 Murray Street,Cobram,Victoria,5,20110725,,-35.921467,145.644824
275,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,275,Caltex Cobram,Operational,7-Eleven Pty Ltd,,88 Station Street,Cobram,Victoria,5,20120713,,-35.923556,145.646189
276,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,276,Caltex Yarroweyah,Operational,Caltex,,4160 Murray Valley Highway,Yarroweyah,Victoria,5,20110725,,-35.924506,145.589377
277,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,277,Caltex Strathmerton,Operational,Caltex,,47-49 Main Street,Strathmerton,Victoria,5,20110725,,-35.9250529999999,145.478634
278,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,278,Caltex Gunbower,Operational,Caltex,,22-26 Main Street,Gunbower,Victoria,5,20110725,,-35.955659,144.369562
279,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,279,Ampol Corowa,Operational,Ampol,,8 Bow Street,Corowa,New South Wales,5,20110725,,-35.993759,146.390121
280,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,280,Safeway Caltex Corowa,Operational,Caltex,,Cnr Parliament Street and Queen Street,Corowa,New South Wales,5,20110725,,-36.0003659999999,146.390508
281,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,281,Caltex Corowa,Operational,Caltex,,6-8 Parliament Street,Corowa,New South Wales,5,20110725,,-36.000371,146.390432
282,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,282,Caltex Wahgunyah,Operational,Caltex,,24 Foord Street,Wahgunyah,Victoria,5,20110725,,-36.009757,146.394295
283,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,283,Safeway Caltex Yarrawonga,Operational,Caltex,,156 Belmore Street,Yarrawonga,Victoria,5,20110725,,-36.015316,146.004935
284,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,284,Caltex Yarrawonga,Operational,Caltex,,53-55 Telford Street,Yarrawonga,Victoria,5,20110725,,-36.018023,146.004318
285,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,285,Caltex Lavington,Operational,Caltex,,432 Wagga Road,Lavington,New South Wales,5,20110725,,-36.0450069999999,146.94448
286,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,286,Caltex Lavington,Operational,Caltex,,373 Wagga Road,Lavington,New South Wales,5,20110725,,-36.047973,146.938526
287,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,287,Safeway Caltex Lavington,Operational,Caltex,,370-372 Griffith Road,Lavington,New South Wales,5,20110725,,-36.048234,146.937413
